Neighborhood,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,location.state,name,referralId,venuePage.id,Rating
Mount Pleasant,"[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",False,4dbf5ef81e72dd48b1f1a22c,765 Beatty Street,CA,Vancouver,Canada,btw Robson and Georgia,1985,"['765 Beatty Street (btw Robson and Georgia)', 'Vancouver BC V6B 2M4', 'Canada']","[{'label': 'display', 'lat': 49.27805152154088, 'lng': -123.11325794229262}]",49.27805152154088,-123.11325794229262,V6B 2M4,BC,Frankies Italian Kitchen,v-1563626114,,7.4
Mount Pleasant,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,5525cd05498e7bd6f8284262,101 Robson St,CA,Vancouver,Canada,Beatty,1999,"['101 Robson St (Beatty)', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.27767942533999, 'lng': -123.11403646249565}]",49.27767942533999,-123.11403646249565,,BC,Sciue Italian Bakery And Caffee,v-1563626114,,7.0
Mount Pleasant,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,4aa92e4df964a520525220e3,126 Davie St.,CA,Vancouver,Canada,btwn Pacific Blvd. & Marinaside Crescent,2194,"['126 Davie St. (btwn Pacific Blvd. & Marinaside Crescent)', 'Vancouver BC V6Z 2Y1', 'Canada']","[{'label': 'display', 'lat': 49.27360431864816, 'lng': -123.12102746915714}]",49.27360431864816,-123.12102746915714,V6Z 2Y1,BC,Sciué Italian Bakery Caffé,v-1563626114,,7.7
Mount Pleasant,[],False,557da51b498e1a9640244f08,,CA,Vancouver,Canada,,1724,"['Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.26780795135773, 'lng': -123.06963658873987}]",49.26780795135773,-123.06963658873987,,BC,Italian Day commercial drive,v-1563626114,,-1.0
Mount Pleasant,"[{'id': '4bf58dd8d48988d1ff941735', 'name': 'Miscellaneous Shop', 'pluralName': 'Miscellaneous Shops', 'shortName': 'Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}, 'primary': True}]",False,4d3cbbe76e0aa1cd8ebbe52c,,CA,,Canada,,1768,['Canada'],"[{'label': 'display', 'lat': 49.279090572778045, 'lng': -123.10684857317382}]",49.279090572778045,-123.10684857317382,,,Italian Shoe Master,v-1563626114,,-1.0
Mount Pleasant,"[{'id': '4bf58dd8d48988d111951735', 'name': 'Jewelry Store', 'pluralName': 'Jewelry Stores', 'shortName': 'Jewelry', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/jewelry_', 'suffix': '.png'}, 'primary': True}]",False,5129bee6e4b096ae4d2327fd,,CA,,Canada,,1793,['Canada'],"[{'label': 'display', 'lat': 49.278870626284906, 'lng': -123.10792696736199}]",49.278870626284906,-123.10792696736199,,,Italian Diamond Factory,v-1563626114,,-1.0
Mount Pleasant,"[{'id': '4bf58dd8d48988d146941735', 'name': 'Deli / Bodega', 'pluralName': 'Delis / Bodegas', 'shortName': 'Deli / Bodega', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}]",False,4f440db1e4b08c6c29a33de6,Princess,CA,Vancouver,Canada,Union,1292,"['Princess (Union)', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.27750737720035, 'lng': -123.09166467497332}]",49.27750737720035,-123.09166467497332,,BC,Benny's italian,v-1563626114,,-1.0
Mount Pleasant,"[{'id': '4bf58dd8d48988d124951735', 'name': 'Automotive Shop', 'pluralName': 'Automotive Shops', 'shortName': 'Automotive', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/automotive_', 'suffix': '.png'}, 'primary': True}]",False,4dfbcc841f6e91394d352efb,620 Clarke Dr.,CA,Vancouver,Canada,,2133,"['620 Clarke Dr.', 'Vancouver BC V5L 3H8', 'Canada']","[{'label': 'display', 'lat': 49.281695, 'lng': -123.076489}]",49.281695,-123.076489,V5L 3H8,BC,Italian Motors Ltd.,v-1563626114,,-1.0
Mount Pleasant,"[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,526d9a8f498e5b63d9118a50,,CA,,Canada,,1872,['Canada'],"[{'label': 'display', 'lat': 49.27780358893573, 'lng': -123.11147870769443}]",49.27780358893573,-123.11147870769443,,,Frankie's Italian Kitchen + Bar,v-1563626114,,-1.0
Mount Pleasant,"[{'id': '4bf58dd8d48988d146941735', 'name': 'Deli / Bodega', 'pluralName': 'Delis / Bodegas', 'shortName': 'Deli / Bodega', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}]",False,4f9f06f3e4b0614494d832ea,621 Main St,CA,,Canada,,1517,"['621 Main St', 'Canada']","[{'label': 'display', 'lat': 49.278884, 'lng': -123.099744}]",49.278884,-123.099744,,,Todo- Italian ingredient,v-1563626114,,-1.0
Mount Pleasant,"[{'id': '4bf58dd8d48988d127951735', 'name': 'Arts & Crafts Store', 'pluralName': 'Arts & Crafts Stores', 'shortName': 'Arts & Crafts', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/artstore_', 'suffix': '.png'}, 'primary': True}]",False,50e8a0c5e4b09c384292dc12,88 Pender St W Suite 1073,CA,Vancouver,Canada,,1874,"['88 Pender St W Suite 1073', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.28023748900084, 'lng': -123.1068320661716}]",49.28023748900084,-123.1068320661716,,BC,Marko's italian shoe doctor,v-1563626114,,-1.0
Mount Pleasant,"[{'id': '4bf58dd8d48988d1f8941735', 'name': 'Furniture / Home Store', 'pluralName': 'Furniture / Home Stores', 'shortName': 'Furniture / Home', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/furniture_', 'suffix': '.png'}, 'primary': True}]",False,4d40d2caadb6236ad41a8c40,1028 Mainland Street,CA,Vancouver,Canada,,2224,"['1028 Mainland Street', 'Vancouver BC V6b2t4', 'Canada']","[{'label': 'display', 'lat': 49.27595330095783, 'lng': -123.11970382883372}]",49.27595330095783,-123.11970382883372,V6b2t4,BC,Italinteriors,v-1563626114,,-1.0
Mount Pleasant,"[{'id': '4bf58dd8d48988d130941735', 'name': 'Building', 'pluralName': 'Buildings', 'shortName': 'Building', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",False,4f1630ebe4b09e58a5c643ca,500 - 510 W Hastings,CA,Vancouver,Canada,,1936,"['500 - 510 W Hastings', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.278558767573905, 'lng': -123.11154281061908}]",49.278558767573905,-123.11154281061908,,BC,Istituto Italiano di Cultura,v-1563626114,,-1.0
