Neighborhood,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.neighborhood,location.postalCode,location.state,name,referralId,venuePage.id,Rating
Sunset,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,57f86c31498e3b62856a6b2d,,CA,Vancouver,Canada,,1802,"['Vancouver BC V5X 3T3', 'Canada']","[{'label': 'display', 'lat': 49.225271, 'lng': -123.090346}]",49.225271,-123.090346,,V5X 3T3,BC,Sushi Moon,v-1563626114,,-1
Sunset,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",False,549f8078498eec334669d5a3,6929 Victoria Drive,CA,Vancouver,Canada,,2164,"['6929 Victoria Drive', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.22149148656226, 'lng': -123.06601976511651}]",49.22149148656226,-123.06601976511651,,,BC,Katei Sushi,v-1563626114,,-1
Sunset,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,4ae60c2bf964a52055a421e3,6428 Fraser St.,CA,Vancouver,Canada,,1909,"['6428 Fraser St.', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.22621884361669, 'lng': -123.09066592494484}]",49.22621884361669,-123.09066592494484,,,BC,Samurai Japanese Restaurant,v-1563626114,,-1
Mount Pleasant,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,4abedbd3f964a5204d9020e3,315 E Broadway,CA,Vancouver,Canada,at Scotia St.,519,"['315 E Broadway (at Scotia St.)', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.26297064086981, 'lng': -123.09872088057193}]",49.26297064086981,-123.09872088057193,Mt. Pleasant,,BC,Hime Sushi,v-1563626114,,-1
Mount Pleasant,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,4aa7e160f964a520d14d20e3,181 E 16th Ave.,CA,Vancouver,Canada,at Main St.,1217,"['181 E 16th Ave. (at Main St.)', 'Vancouver BC V5T 4R2', 'Canada']","[{'label': 'display', 'lat': 49.256629369817, 'lng': -123.10200352785085}]",49.256629369817,-123.10200352785085,,V5T 4R2,BC,Toshi Sushi,v-1563626114,,-1
Mount Pleasant,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,4aa7e590f964a520ec4d20e3,371 E Broadway,CA,Vancouver,Canada,Brunswick St,444,"['371 E Broadway (Brunswick St)', 'Vancouver BC V5T 1W5', 'Canada']","[{'label': 'display', 'lat': 49.26289746256272, 'lng': -123.09716862704346}]",49.26289746256272,-123.09716862704346,,V5T 1W5,BC,Sushiyama,v-1563626114,,-1
Mount Pleasant,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",False,4aa80cc4f964a520fd4e20e3,220 Davie St,CA,Vancouver,Canada,btwn Mainland & Pacific Blvd,2297,"['220 Davie St (btwn Mainland & Pacific Blvd)', 'Vancouver BC V6B 5Z6', 'Canada']","[{'label': 'display', 'lat': 49.274721075528696, 'lng': -123.12182784459537}]",49.274721075528696,-123.12182784459537,,V6B 5Z6,BC,Sushi Maro Japanese Restaurant,v-1563626114,,-1
Mount Pleasant,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,4aae9cb7f964a5209b6220e3,101-1638 East Broadway,CA,Vancouver,Canada,Commercial Drive,1683,"['101-1638 East Broadway (Commercial Drive)', 'Vancouver BC V5N 1W1', 'Canada']","[{'label': 'display', 'lat': 49.26237772188581, 'lng': -123.07067797231643}]",49.26237772188581,-123.07067797231643,,V5N 1W1,BC,Broadway Station Sushi,v-1563626114,,-1
Mount Pleasant,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",False,4bca1569b6c49c74c9b68f91,1284 Kingsway,CA,Vancouver,Canada,at Clark Dr.,1953,"['1284 Kingsway (at Clark Dr.)', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.25128795544434, 'lng': -123.07839996478187}]",49.25128795544434,-123.07839996478187,,,BC,Sushi Bay Japanese Restaurant,v-1563626114,,-1
Mount Pleasant,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",False,537666fb498eaa8a564c63e4,1431 Commercial Dr,CA,Vancouver,Canada,btwn Kitchener & Grant,1813,"['1431 Commercial Dr (btwn Kitchener & Grant)', 'Vancouver BC V5L 3X8', 'Canada']","[{'label': 'display', 'lat': 49.27161071559217, 'lng': -123.06979372286578}]",49.27161071559217,-123.06979372286578,,V5L 3X8,BC,Hirado Sushi,v-1563626114,,-1
