Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Sunset,49.20910089572929,-123.08896336410984,Panos Greek Taverna,49.2109677,-123.0921432,Restaurant
Sunset,49.20910089572929,-123.08896336410984,Dosa Corner,49.209783511793674,-123.09084510550558,Indian Restaurant
Sunset,49.20910089572929,-123.08896336410984,Breka Bakery & Café,49.22517225662143,-123.09085607056,Bakery
Sunset,49.20910089572929,-123.08896336410984,Badminton Vancouver,49.20493465100246,-123.07949002677496,Gym / Fitness Center
Sunset,49.20910089572929,-123.08896336410984,Dogwood Brewery,49.2099382884179,-123.08158601597852,Brewery
Sunset,49.20910089572929,-123.08896336410984,Cineplex Cinemas Marine Gateway and VIP,49.21008771244199,-123.1164201155948,Movie Theater
Sunset,49.20910089572929,-123.08896336410984,So Hyang Korean Cuisine,49.22701912249385,-123.09084195808964,Korean Restaurant
Sunset,49.20910089572929,-123.08896336410984,TJ's The Kiddies Store,49.2119982680054,-123.10833421114748,Kids Store
Sunset,49.20910089572929,-123.08896336410984,Starbucks,49.21064269857472,-123.10687519709289,Coffee Shop
Sunset,49.20910089572929,-123.08896336410984,Shoom 雅菀食府,49.22486089217804,-123.09094839993831,Cantonese Restaurant
Sunset,49.20910089572929,-123.08896336410984,Sunset Community Centre,49.22276689396704,-123.10135080733122,Event Space
Sunset,49.20910089572929,-123.08896336410984,Starbucks,49.19215232199182,-123.08348041587941,Coffee Shop
Sunset,49.20910089572929,-123.08896336410984,BAKER & TABLE Cafe,49.226323515544,-123.09067785641665,Bakery
Sunset,49.20910089572929,-123.08896336410984,Subway,49.21081825194294,-123.09294029853557,Sandwich Place
Sunset,49.20910089572929,-123.08896336410984,Shoppers Drug Mart,49.22624652936602,-123.08785585874891,Pharmacy
Sunset,49.20910089572929,-123.08896336410984,Winona Park,49.21522541876291,-123.11435533559762,Field
Sunset,49.20910089572929,-123.08896336410984,T&T Supermarket - Marine Gateway,49.209719213494175,-123.11632028560577,Supermarket
Sunset,49.20910089572929,-123.08896336410984,Chicago Subs,49.19180609956089,-123.08401790308099,Sandwich Place
Sunset,49.20910089572929,-123.08896336410984,White Spot Marine Drive,49.21067102976783,-123.08379305664286,Breakfast Spot
Sunset,49.20910089572929,-123.08896336410984,6 Pack Indoor Beach,49.20338969359945,-123.078865982392,Volleyball Court
Sunset,49.20910089572929,-123.08896336410984,Wendy's,49.211922,-123.10614,Fast Food Restaurant
Sunset,49.20910089572929,-123.08896336410984,Subway,49.20902907104286,-123.09946889999739,Sandwich Place
Sunset,49.20910089572929,-123.08896336410984,Original Tandoori Kitchen,49.21913525779554,-123.10209955662927,Restaurant
Sunset,49.20910089572929,-123.08896336410984,Dollar Tree,49.22573054707353,-123.09070973820818,Discount Store
Sunset,49.20910089572929,-123.08896336410984,Subway,49.21832780959815,-123.07746147169095,Sandwich Place
